Hauptkategorie (neu);Unterkategorie (neu);Top-Rang;Relevanz 1-5;Produktname;Bild;Beschreibung (max. 500 Zeichen);Feature / USP (Hauptbotschaft);Sekundäre Information;Link Ferronato-Shop;Sparte/Farbe;Preis CHF exkl. MwSt;Art.-Nr.;Verfügbarkeit;Alte Shop-Unterkategorie;Begründung Top
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;5;4;FLEX MT 18.0-EC C Akku Multitool;https://shop.ferronato.ch/images/product/large/6066.jpg;FLEX Akku-Multitool MT 18.0-EC C, StarlockMAX-Aufnahme, bürstenloser Motor, Oszillationswinkel 2x2°, Drehzahl 10000-20000/min, LED-Doppellicht, Gewicht ohne Akku 1,3 kg. Für Sägen, Schneiden, Abkratzen von Fugenmörtel, Kleber, Silikon, Farbe. Ohne Akku, Ladegerät, Sägeblatt.;Vielseitiges Multitool zum Entfernen von altem Fugenmörtel, Kleber und Silikon.;StarlockMAX-Aufnahme für alle Starlock-Zubehörteile.;https://shop.ferronato.ch/de/product/6066/flex-mt-18-0-ec-c-akku-multitool?CatID=216;Plattenleger;255.0;050-272;ab Lager;Elektrogeräte, Mit Akku;FLEX MT 18.0-EC C Akku-Multitool für Ausschnitte und Fugenarbeiten.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;3;FEIN Hartmetall-Raspel SL Verpackungseinheit 1 Stk Kantenlänge 80 mm;https://shop.ferronato.ch/images/product/large/6283.jpg;Hartmetall-Raspel für Multitool, Dreiecksform mit 80 mm Kantenlänge, zum Grobschliff von Spachtelmasse, Fliesenkleber, Beton, Stein, Holz. Mit Lochung für Staubabsaugung, Starlock-Aufnahme, 1 Stück.;Grober Materialabtrag von Fliesenkleber und Spachtelmasse mit Staubabsaugung.;Dreiecksform, Starlock-kompatibel.;https://shop.ferronato.ch/de/product/6283/fein-hartmetall-raspel-sl-verpackungseinheit-1-stk-kantenl-nge-80-mm?CatID=216;Plattenleger;41.5;050-003 HRSL;ab Lager;Plattenleger (Hauptkategorie);Praktisch zum Kleberabtrag, aber Ergänzungszubehör.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;3;FEIN Segmentmesser SLM Diamant 1.2 mm;https://shop.ferronato.ch/images/product/large/6280.jpg;Diamant-Segmentmesser SLM für Multitool, Schnittbreite 1,2 mm, StarlockMax-Aufnahme, zum Austrennen von Marmor-, Epoxidharz- und Trassfugen, auch für harte Epoxid- und Zementfugen. 5 Stück pro Packung.;Präzises Austrennen dünner Fugen ohne Überschnitt in Ecken und Kanten.;Extra dünne 1,2-mm-Ausführung, 5er-Packung.;https://shop.ferronato.ch/de/product/6280/fein-segmentmesser-slm-diamant-1-2-mm?CatID=216;Plattenleger;496.5;050-003 SM12;Nicht an Lager;Plattenleger (Hauptkategorie);Nützliches Multitool-Zubehör für Fugensanierung, kein Kernprodukt.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;3;FEIN Segmentmesser SLM Diamant 2.2 mm;https://shop.ferronato.ch/images/product/large/6281.jpg;Diamant-Segmentmesser SLM für Multitool, Schnittbreite 2,2 mm, StarlockMax-Aufnahme, zum Austrennen von Marmor-, Epoxidharz- und Trassfugen, auch für harte Epoxid- und Zementfugen. 5 Stück pro Packung.;Austrennen breiterer Fugen ohne Überschnitt in Ecken und Kanten.;2,2-mm-Ausführung, 5er-Packung.;https://shop.ferronato.ch/de/product/6281/fein-segmentmesser-slm-diamant-2-2-mm?CatID=216;Plattenleger;470.0;050-003 SM22;ab Lager;Plattenleger (Hauptkategorie);Nützliches Multitool-Zubehör für Fugensanierung, kein Kernprodukt.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;2;FEIN E-Cut Metall-Sägeblatt SLM HM Carbide Pro;https://shop.ferronato.ch/images/product/large/6284.jpg;Tauchsägeblatt E-Cut Carbide Pro, TiN-beschichtetes Hartmetall, 100 Prozent höhere Standzeit als unbeschichtetes Hartmetall, 30-fach höher als HSS. Für Eisenmetalle, Edelstahl, Kupferrohre. Abmessung 78x32 mm, StarlockMax, 5 Stück.;Extrem verschleissfestes Tauchsägeblatt für harte Metalle.;5er-Packung, StarlockMax-Aufnahme.;https://shop.ferronato.ch/de/product/6284/fein-e-cut-metall-s-geblatt-slm-hm-carbide-pro?CatID=216;Plattenleger;147.25;050-003 SLM HM;ab Lager;Plattenleger (Hauptkategorie);Spezialzubehör für Metallschnitte, geringe Kaufhäufigkeit.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;2;FEIN E-Cut Sägeblatt SLP U-BIM 60x44mm;https://shop.ferronato.ch/images/product/large/6282.jpg;E-Cut Universal-Sägeblatt Bi-Metall mit gewellter Universalverzahnung für Blech bis 2 mm, Alu-Profile, Kupferrohre, Holz, Gipskarton, Kunststoffe. Länge 60 mm, 5 Stück pro Packung.;Universalsägeblatt für vielseitige Trennschnitte am Multitool.;5er-Packung, Länge 60 mm.;https://shop.ferronato.ch/de/product/6282/fein-e-cut-s-geblatt-slp-u-bim-60x44mm?CatID=216;Plattenleger;83.0;050-003 SLP U-BIM;Nicht an Lager;Plattenleger (Hauptkategorie);Universalzubehör, kein plattenlegerspezifisches Kernprodukt.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;2;FEIN Schleifplatte extra flach SL 3-Eck 81mm Starlock;https://shop.ferronato.ch/images/product/large/6286.png;Schleifplatte extra flach, Kunststoff-Trägerplatte, Dreiecksform mit 80 mm Kantenlänge, Klettenhaftteil, Starlock-kompatibel, 1 Stück.;Flache Trägerplatte für Schleifarbeiten in engen Zwischenräumen.;Standardausführung, extra flach.;https://shop.ferronato.ch/de/product/6286/fein-schleifplatte-extra-flach-sl-3-eck-81mm-starlock?CatID=216;Plattenleger;23.6;050-003 SP2;ab Lager;Plattenleger (Hauptkategorie);Reines Verschleissteil, geringer Einzelwert.
09 Akku-Maschinen & Zubehör;Multitool & Zubehör;;2;FEIN Schleifplatte ungelocht SL 3-Eck 81mm;https://shop.ferronato.ch/images/product/large/6285.jpg;Schleifplatte ungelocht, Kunststoff-Trägerplatte, Dreiecksform 80x80x80 mm, Klettenhaftteil, Starlock-kompatibel, 1 Stück.;Schützende Trägerplatte für präzises Kantenschleifen mit dem Multitool.;Standardausführung, ungelocht.;https://shop.ferronato.ch/de/product/6285/fein-schleifplatte-ungelocht-sl-3-eck-81mm?CatID=216;Plattenleger;19.9;050-003 SP1;ab Lager;Plattenleger (Hauptkategorie);Reines Verschleissteil, geringer Einzelwert.
10 Maschinen 230 V;Betonschleifer;5;3;FLEX  LD 24-6 180 Betonschleifer;https://shop.ferronato.ch/images/product/large/5750.jpg;FLEX Betonschleifer LD 24-6 180 mit Absaughaube, elastischem Gummiabsaugring, Sanftanlauf, 2400 Watt, 6500/min, Scheibendurchmesser 180 mm, M14, Gewicht 6,6 kg. Für grossflächiges Abtragen und Anschleifen von Altbeton, Zementputz, Beschichtungen. Set mit Diamantschleifteller, Absaughaube, Bügelhandgriff, Transportkoffer.;Kraftvolles Grossflächenschleifen von Beton mit integrierter Staubabsaugung.;Saugschlauch und Adapter nicht im Lieferumfang enthalten.;https://shop.ferronato.ch/de/product/5750/flex-ld-24-6-180-betonschleifer?CatID=216;Plattenleger;1.0;050-021;Nicht an Lager;Elektrogeräte, 230 Volt;FLEX LD 24-6 180 Betonschleifer für grossflächigen Untergrundabtrag.
10 Maschinen 230 V;Betonschleifer;;3;FLEX Aktion LDE 16-8 125 R, Kit Thermo-Super Betonschleifer #FLEX#Bodenbearbeitung;https://shop.ferronato.ch/images/product/large/7550.jpg;Netzbetriebener Betonschleifer mit Staubabsaugung, schwenkbarer und höhenverstellbarer Schutzhaube, vibrationsgedämpftem Bügelhandgriff. Geeignet zum Abschleifen von Beton, Anschleifen von Altbeton, Zementputz und Sinterschicht. Leistungsaufnahme 1600 Watt, Scheibendurchmesser 125 mm, M14, Leerlaufdrehzahl 4500-7800 1/min, 3.1 kg, inkl. Diamantschleiftopf, Absaughaube und Transportkoffer.;Staubarmer Betonschleifer mit optimal abgestimmtem Diamantschleiftopf im Set.;Inkl. Diamantschleiftopf, Absaughaube und Koffer, Preis CHF 765.00.;https://shop.ferronato.ch/de/product/7550/flex-aktion-lde-16-8-125-r-kit-thermo-super-betonschleifer-flex-bodenbearbeitung?CatID=216;Plattenleger;765.0;050-642;Nicht an Lager;Elektrogeräte, 230 Volt;Spezialmaschine für Bodenbearbeitung, hochpreisig, nicht bei jedem im Einsatz.
10 Maschinen 230 V;Druckluft-Werkzeuge;;2;Druckluft Winkelschleifer Mini;https://shop.ferronato.ch/images/product/large/4132.jpg;Druckluft-Winkelschleifer Mini, 12000 U/min, Luftbedarf 200 l/min, Luftdruck 4-5 bar, inklusive Klett-Aufnahmeteller Ø50 mm, Gewicht 0.9 kg. Für Schleifen und Polieren engster Radien und kleiner Flächen, ideal zum Fasenschleifen von Beckenausschnitten, Trockeneinsatz mit KS-Dry-Mini-Belägen.;Leichter Druckluft-Winkelschleifer für Radien und kleine Flächen.;12000 U/min, Gewicht 0.9 kg, Preis CHF 282.00.;https://shop.ferronato.ch/de/product/4132/druckluft-winkelschleifer-mini?CatID=216;Plattenleger;282.0;060-082;ab Lager;Plattenleger (Hauptkategorie);Spezialmaschine für kleine Radien, benötigt Druckluftversorgung.
10 Maschinen 230 V;Schleif- & Poliermaschinen;4;4;FLEX SE 14-2 150 Set Supraflex;https://shop.ferronato.ch/images/product/large/3133.jpg;FLEX SE 14-2 150 Set Supraflex, 1400 Watt Motor, VR-Elektronik mit Drehzahlvorwahl und Überlastungsschutz, Planeten- und Winkelgetriebe für geringe Geräuschentwicklung. Max. Stütztellerdurchmesser 150 mm, Drehzahl 600-2100 U/min, Aufnahme M14, Gewicht 2.6 kg, inkl. L-Boxx.;Kraftvoller Schleif-Spezialist zum Sanieren und Renovieren von Stein und Metall.;Inkl. Schutzhaube, Zusatzgriff, Klett-Schleifteller und L-Boxx, CHF 770.00.;https://shop.ferronato.ch/de/product/3133/flex-se-14-2-150-set-supraflex?CatID=216;Plattenleger;770.0;050-006;ab Lager;Elektrogeräte, 230 Volt;FLEX SE 14-2 150 Supraflex Set zum Schleifen und Polieren von Naturstein.
10 Maschinen 230 V;Schleif- & Poliermaschinen;;3;FLEX OSE 2-80 EC Set Schwingschleifer;https://shop.ferronato.ch/images/product/large/7882.jpg;Kompakter, bürstenloser Einhand-Schwingschleifer mit integrierter Staubabsaugung und Filterpatrone, Tellerbremse gegen Schleifriefen, E-Signal-Schalter mit Schnell-Stopp. Leistungsaufnahme 260 Watt, Schleifplatte 130x80 mm, 12-Lochsystem, Leerlaufdrehzahl 16000-24000 1/min, Gewicht 1.2 kg, inkl. Transportkoffer.;Vibrationsarmer, staubfreier Schwingschleifer für ermüdungsfreies Feinschleifen.;Inkl. Filterpatrone und Transportkoffer, Preis CHF 370.00.;https://shop.ferronato.ch/de/product/7882/flex-ose-2-80-ec-set-schwingschleifer?CatID=216;Plattenleger;370.0;050-744;Nicht an Lager;Elektrogeräte, 230 Volt;Universalmaschine für Feinschliff, nicht bei jedem Plattenleger im täglichen Einsatz.
10 Maschinen 230 V;Schleif- & Poliermaschinen;;3;FLEX SE 14-2 125 Supraflex Set;https://shop.ferronato.ch/images/product/large/5167.jpg;FLEX Poliermaschine SE 14-2 125, 1400 Watt, Drehzahl 600-2100/min, Aufnahme M14, Gewicht 2,6 kg. Set mit Schutzhaube, Saugadapter, Zusatzhandgriff, Klett-Schleifteller, 4 Schleifblättern und L-Boxx-Koffer. Für Inox, Metall, Natur-/Kunststein und Holzoberflächen.;Vielseitiger Schleif-Spezialist mit Drehzahlregelung zum Sanieren und Polieren.;Komplettes Set inkl. Zubehör und Transportkoffer.;https://shop.ferronato.ch/de/product/5167/flex-se-14-2-125-supraflex-set?CatID=216;Plattenleger;745.0;050-010;ab Lager;Elektrogeräte, 230 Volt;Hochwertige FLEX-Maschine, spezialisiert auf Oberflächenbearbeitung.
10 Maschinen 230 V;Stockmaschinen;;2;FLEX ST 1503 Stockmaschine Ø100 mm;https://shop.ferronato.ch/images/product/large/3129.jpg;FLEX ST 1503 Stockmaschine Ø100 mm zum Stocken und Aufrauen von Natur- oder Kunststein wie Granit, Sandstein und Beton. Staubabsaugung für bewohnte Gebäude, 60 Hartmetallspitzen, 1200 Watt Motor, 4000 U/min, Werkzeugdurchmesser 100 mm, Gewicht 4.4 kg, mit Koffer.;FLEX-Stockmaschine zum schnellen, präzisen Aufrauen von Stein und Beton.;1200 Watt, inkl. Bügelgriff und Koffer, Preis auf Anfrage.;https://shop.ferronato.ch/de/product/3129/flex-st-1503-stockmaschine-100-mm?CatID=216;Plattenleger;1.0;050-028;ab Lager;Elektrogeräte, 230 Volt;Spezialmaschine fürs Stocken, seltener im Alltag gebraucht.
10 Maschinen 230 V;Stockmaschinen;;2;FLEX ST 804 Stockmaschine Ø150mm mit 4 Stockstationen;https://shop.ferronato.ch/images/product/large/6323.jpg;FLEX Stockmaschine ST 804 mit 4 Stockstationen, 80 Hartmetallspitzen, 1800 Watt, 4000/min, Werkzeugdurchmesser 150 mm, Staubabsaugung, Gewicht 6,95 kg. Zum Stocken und Aufrauen von Natur- und Kunststein sowie Beton.;Präzises Stocken und Aufrauen von Stein- und Betonoberflächen.;4 Stockstationen im Lieferumfang, Staubabsaugung integriert.;https://shop.ferronato.ch/de/product/6323/flex-st-804-stockmaschine-150mm-mit-4-stockstationen?CatID=216;Plattenleger;1.0;050-013;ab Lager;Elektrogeräte, 230 Volt;Spezialmaschine für Oberflächenaufrauung, Nischenanwendung.
10 Maschinen 230 V;Winkelschleifer 230 V;1;5;FLEX L3406 VRG Winkelschleifer;https://shop.ferronato.ch/images/product/large/3125.jpg;FLEX L3406 VRG Winkelschleifer mit VR-Mikroprozessor-Elektronik: Drehzahlvorwahl, Sanftanlauf, Überlastungsschutz, Temperaturüberwachung. Max. Schleifkörper Ø125 mm, Polierkörper Ø160 mm, Leerlaufdrehzahl 2100-7500 U/min, 1400 Watt, Aufnahme M14, Gewicht 2.2 kg, Kabellänge 4 m.;Universeller FLEX-Winkelschleifer zum Schleifen und Polieren mit stufenloser Drehzahl.;1400 Watt, M14-Aufnahme, inkl. Schutzhaube und Softvib-Griff, CHF 360.00.;https://shop.ferronato.ch/de/product/3125/flex-l3406-vrg-winkelschleifer?CatID=216;Plattenleger;360.0;050-184;Nicht an Lager;Elektrogeräte, 230 Volt;FLEX L3406 VRG Winkelschleifer, robuster Klassiker mit Drehzahlregelung.
10 Maschinen 230 V;Winkelschleifer 230 V;2;4;FLEX L 12-11 125 Winkelschleifer;https://shop.ferronato.ch/images/product/large/6253.jpg;FLEX Winkelschleifer L 12-11 125, 1200 Watt, 11500/min, M14, extrem leicht und handlich, Anti-Kickback, ergonomischer Seitenhandgriff, Gewicht 2,0 kg.;Leichter, universeller Winkelschleifer für den täglichen Einsatz.;Kompakte Bauform, 300x105 mm.;https://shop.ferronato.ch/de/product/6253/flex-l-12-11-125-winkelschleifer?CatID=216;Plattenleger;185.0;050-294;Nicht an Lager;Elektrogeräte, 230 Volt;FLEX L 12-11 125 Winkelschleifer, günstiges Arbeitstier für Trennscheiben.
10 Maschinen 230 V;Winkelschleifer 230 V;3;4;FLEX LB 17-11 Winkelschleifer Ø125mm Aufnahme M 14;https://shop.ferronato.ch/images/product/large/5754.jpg;FLEX Winkelschleifer LB 17-11, 1700 Watt, 11500/min, M14, mechanische Bremse (3,5 Sek.), Anti-Kickback, Spindelarretierung, Gewicht 2,6 kg. Set mit Schutzhaube, SoftVib-Handgriff, Spannflansch, Spannmutter.;Kraftvoller 1700-Watt-Winkelschleifer mit mechanischer Sicherheitsbremse.;SoftVib-Handgriff mit integriertem Spannmutternschlüssel.;https://shop.ferronato.ch/de/product/5754/flex-lb-17-11-winkelschleifer-125mm-aufnahme-m-14?CatID=216;Plattenleger;290.0;050-179;Nicht an Lager;Elektrogeräte, 230 Volt;FLEX LB 17-11 Ø125 M14 mit Bremse für sicheres Trennen von Keramik.
10 Maschinen 230 V;Winkelschleifer 230 V;;4;FLEX Aktion Winkelschleifer Set LBE 17-11 inkl. L12-11;https://shop.ferronato.ch/images/product/large/5529.jpg;Set aus zwei FLEX Winkelschleifern: LBE 17-11 125 (1700 Watt, 2800-11500/min, mechanische Bremse, Anti-Kickback, M14) und L 12-11 125 (1200 Watt, 11500/min, M14). Beide mit Schutzhaube, Handgriff, Spannflansch und Spannmutter.;Zwei hochwertige FLEX-Winkelschleifer im Aktionsset zum Vorteilspreis.;Aktionspreis für zwei Maschinen statt Einzelkauf.;https://shop.ferronato.ch/de/product/5529/flex-aktion-winkelschleifer-set-lbe-17-11-inkl-l12-11?CatID=216;Plattenleger;329.0;050-000 AKT01;ab Lager;Elektrogeräte, 230 Volt;Starke FLEX-Marke, Aktion, zwei Kernmaschinen im Set.
10 Maschinen 230 V;Winkelschleifer 230 V;;4;FLEX L 1400 125 Winkelschleifer;https://shop.ferronato.ch/images/product/large/6296.jpg;FLEX Winkelschleifer L 1400 125, 1400 Watt, 11500/min, M14, werkzeuglos verstellbare Schutzhaube mit Spannhebel, Gewicht 2,3 kg.;Kompakter Einstiegs-Winkelschleifer mit werkzeugloser Schutzhaube.;Länge 310 mm, arretierbarer Schiebeschalter.;https://shop.ferronato.ch/de/product/6296/flex-l-1400-125-winkelschleifer?CatID=216;Plattenleger;149.0;050-293;Nicht an Lager;Elektrogeräte, 230 Volt;Preisgünstiger FLEX-Winkelschleifer für den täglichen Einsatz.
10 Maschinen 230 V;Winkelschleifer 230 V;;4;FLEX L 1606 VR Winkelschleifer 230V;https://shop.ferronato.ch/images/product/large/7530.jpg;Netzbetriebener Winkelschleifer mit hoch belastbarem Motor, Mikroprozessor-Elektronik mit Sanftanlauf und Anti-Kickback, Drehzahlvorwahl in 6 Stufen. Leistungsaufnahme 1600 Watt, max. Scheibendurchmesser 125 mm, Werkzeugaufnahme M14, Leerlaufdrehzahl 2400-6800 1/min, Kabellänge 4 m, Gewicht 2.0 kg.;Leistungsstarker 230V-Winkelschleifer mit 6-stufiger Drehzahlvorwahl und Anti-Kickback.;1600 Watt, M14-Aufnahme, Preis CHF 375.00.;https://shop.ferronato.ch/de/product/7530/flex-l-1606-vr-winkelschleifer-230v?CatID=216;Plattenleger;375.0;050-686;ab Lager;Elektrogeräte, 230 Volt;Universalmaschine der starken FLEX-Marke, breit im Alltag einsetzbar.
10 Maschinen 230 V;Winkelschleifer 230 V;;4;FLEX Winkelschleifer 900 Watt LE 9-11 Ø125mm;https://shop.ferronato.ch/images/product/large/6968.jpg;FLEX Winkelschleifer mit 900 Watt, Mikroprozessor-Elektronik, 6-stufiger Drehzahlregelung, Anti-Kickback und Spindelarretierung. Max. Scheibendurchmesser 125 mm, Werkzeugaufnahme M14, Leerlaufdrehzahl 6000-11500 1/min, 230 V, Gewicht 2.0 kg.;Vielseitiger 230-V-Winkelschleifer für Metall, Bau und Renovierung.;Inkl. Schutzhaube, Handgriff, Spannflansch und Stirnlochschlüssel.;https://shop.ferronato.ch/de/product/6968/flex-winkelschleifer-900-watt-le-9-11-125mm?CatID=216;Plattenleger;160.0;050-394;Nicht an Lager;Elektrogeräte, 230 Volt;Bewährtes Grundwerkzeug für den täglichen Baustelleneinsatz.
11 Arbeitsschutz (PSA);Arbeitsschürzen;;2;Arbeitschürze AGRITEX 95x120;https://shop.ferronato.ch/images/product/large/2407.jpg;Arbeitsschürze AGRITEX 95x120 cm, grün, aus Polyestergewebe mit beidseitiger PVC-Beschichtung, reiss- und abriebfest, weitgehend öl-, fett- und säureresistent, Materialstärke 0.5 mm, längenverstellbare Schulter- und Bundbänder mit Klickverschlüssen.;Robuste, öl- und säurebeständige Arbeitsschürze mit Schulterbändern.;Grösse 95x120 cm, Gewicht 1 kg, Preis CHF 45.00.;https://shop.ferronato.ch/de/product/2407/arbeitsch-rze-agritex-95x120?CatID=216;Plattenleger / grün;45.0;090-028;ab Lager;PSA Plattenleger;Solide PSA-Schürze, aber nicht bei jeder Arbeit nötig.
11 Arbeitsschutz (PSA);Arbeitsschürzen;;2;Arbeitsschürze mit Schultertragriemen;https://shop.ferronato.ch/images/product/large/2413.jpg;Arbeitsschürze Anticid 90x110 cm, braun, mit Schultertragriemen und Bundband mit Klickverschluss. Polyestergewebe mit beidseitiger Nitrillatex-Beschichtung, sehr reiss- und abriebfest, Materialstärke 0.5 mm, Gewicht 900 g.;Reiss- und abriebfeste Schürze mit Schultertragriemen.;Grösse 90x110 cm, Preis CHF 99.00.;https://shop.ferronato.ch/de/product/2413/arbeitssch-rze-mit-schultertragriemen?CatID=216;Plattenleger / braun;99.0;090-008;Nicht an Lager;PSA Plattenleger;Solide PSA-Schürze für nasse und schmutzige Arbeiten.
11 Arbeitsschutz (PSA);Arbeitsschürzen;;2;PSA Arbeitschürze ANTICID, braun mit Halsriemen 90x140cm;https://shop.ferronato.ch/images/product/large/2414.jpg;PSA Arbeitschürze Anticid 90x140 cm, braun, mit Halsriemen und Bindebändel, kürzbar mit Schere oder Cutter. Polyestergewebe mit beidseitiger Nitrillatex-Beschichtung, sehr beständig gegen Öle, Fette, Säuren, Laugen und Heisswasser bis 100 Grad.;Grosse, säure- und hitzebeständige Schürze für Nassbereichsarbeiten.;Grösse 90x140 cm, Gewicht 850 g, Preis CHF 119.50.;https://shop.ferronato.ch/de/product/2414/psa-arbeitsch-rze-anticid-braun-mit-halsriemen-90x140cm?CatID=216;Plattenleger / braun;119.5;090-004;ab Lager;PSA Plattenleger;Solide PSA-Schürze, spezielle Grösse für schwere Nassarbeiten.
11 Arbeitsschutz (PSA);Atemschutz & Filter;3;4;MOLDEX Feinstaubmaske M-3205 1 Stück;https://shop.ferronato.ch/images/product/large/3302.jpg;MOLDEX 3205 Feinstaubmaske FFP3 mit Ausatemventil und elastischer Rundumbänderung, Gitterschale für Stabilität, zusätzliche Dolomitstaubprüfung für längere Nutzung als eine Arbeitsschicht. Offenverkauf 1 Stück oder Box zu 10 Stück.;FFP3-Maske für Steinfeinstaub mit langer Einsatzdauer je Schicht.;Einzeln oder als 10er-Box, Preis CHF 12.80.;https://shop.ferronato.ch/de/product/3302/moldex-feinstaubmaske-m-3205-1-st-ck?CatID=216;Plattenleger;12.8;090-030;ab Lager;PSA Plattenleger;MOLDEX Feinstaubmaske M-3205, tägliches Verbrauchsmaterial beim Schneiden.
11 Arbeitsschutz (PSA);Atemschutz & Filter;4;4;Faltbare Partikelmaske 3M 10 Stück;https://shop.ferronato.ch/images/product/large/3301.jpg;3M Aura FFP3-Feinstaubpartikelmaske, flach faltbar, mit Schaumstoff-Nasenstück, Nasenbügel, Ausatemventil, 10 Stück einzelverpackt, ca. 15 Gramm pro Stück. Reduziertes Beschlagen von Brillen, hoher Tragekomfort durch Cool-Flow-Ausatemventil.;Faltbare FFP3-Maske mit hohem Tragekomfort für staubige Arbeiten.;10 Stück pro Schachtel, Preis CHF 141.00.;https://shop.ferronato.ch/de/product/3301/faltbare-partikelmaske-3m-10-st-ck?CatID=216;Plattenleger;141.0;090-032;ab Lager;PSA Plattenleger;3M Faltbare Partikelmaske im 10er-Pack, günstiger Vorratskauf.
11 Arbeitsschutz (PSA);Atemschutz & Filter;;3;PSA Atemschutzsystem OPTREL SWISS AIR BASIC;https://shop.ferronato.ch/images/product/large/6588.jpg;Gebläse-Atemschutzsystem OPTREL swiss air, Schutzklasse TH3/TM3, ohne Maske, mit Filterkartusche ABE1P. Geringes Gewicht, hoher Tragekomfort, für Bau-, Schleif- und Schweissarbeiten. Lieferumfang: Gebläseeinheit, Schlauchsystem, Kopf-/Nackenband, Ladegerät, Tasche.;Leichter Gebläse-Atemschutz mit höchster Schutzklasse TH3/TM3.;Ohne Maske, nicht für Sauerstoffmangel oder unmittelbare Lebensgefahr geeignet.;https://shop.ferronato.ch/de/product/6588/psa-atemschutzsystem-optrel-swiss-air-basic?CatID=216;Plattenleger / schwarz;1.0;090-027;ab Lager;PSA Plattenleger;Wichtig für Staubschutz, aber hoher Preis und Spezialanwendung.
11 Arbeitsschutz (PSA);Atemschutz & Filter;;3;Staub-Halbmaske Moldex 7000, ohne Filter;https://shop.ferronato.ch/images/product/large/4046.jpg;Staub-Halbmaske Moldex 7000, Maskenkörper ohne Filter, wiederverwendbare Atemschutzmehrweg-Halbmaske aus weichem, hautverträglichem TPE mit lösbarer Bebänderung. Kombination von Gas- und Partikelfilter frei wählbar, diese müssen separat gekauft werden.;Wiederverwendbare Halbmaske als Basis für frei wählbare Filter.;Grössen S, M, L, Filter separat, Preis CHF 36.00.;https://shop.ferronato.ch/de/product/4046/staub-halbmaske-moldex-7000-ohne-filter?CatID=216;Plattenleger;36.0;;;Plattenleger (Hauptkategorie);Wiederkehrend genutzte Maskenbasis, spart Filterkosten.
11 Arbeitsschutz (PSA);Atemschutz & Filter;;2;Gasfilter A1 zu Moldex 7000 pro Stück;https://shop.ferronato.ch/images/product/large/3303.jpg;Gasfilter A1 zu Moldex 7000 nach EN 14387, kann mit Partikelfilter oder direkt mit dem Maskenkörper verbunden werden, es werden zwei Filter benötigt, Preis pro Stück.;Ersatz-Gasfilter für die Moldex-7000-Halbmaske.;Preis pro Stück CHF 11.00, es braucht zwei Filter.;https://shop.ferronato.ch/de/product/3303/gasfilter-a1-zu-moldex-7000-pro-st-ck?CatID=216;Plattenleger;11.0;090-024;ab Lager;PSA Plattenleger;Verbrauchsmaterial zur Moldex-7000-Maske, gezielter Bedarf.
11 Arbeitsschutz (PSA);Atemschutz & Filter;;2;Partikel-Filter P3 R zu MOLDEX 7000 pro Stück;https://shop.ferronato.ch/images/product/large/3304.jpg;Partikel-Ersatzfilter P3 R zu Masken Moldex Serie 7000, Preis pro Filter, es werden zwei Filter der Schutzstufe P3R benötigt.;Ersatz-Partikelfilter P3R für die Moldex-7000-Halbmaske.;Preis pro Stück CHF 8.00, es braucht zwei Filter.;https://shop.ferronato.ch/de/product/3304/partikel-filter-p3-r-zu-moldex-7000-pro-st-ck?CatID=216;Plattenleger;8.0;090-020;ab Lager;PSA Plattenleger;Verbrauchsmaterial zur Moldex-7000-Maske, gezielter Bedarf.
11 Arbeitsschutz (PSA);Augen- & Gehörschutz;6;3;Kapselgehörschutz VS 120;https://shop.ferronato.ch/images/product/large/3257.jpg;Kapselgehörschutz VeriShield VS 120, Anpassung an jede Kopfgrösse, breitere Kapselöffnung für anspruchsvolle Dauereinsätze, leichter gepolsterter Kopfbügel, Ohrmuscheln mit Memory-Foam für optimalen Tragekomfort.;Langlebiger Kapselgehörschutz mit hohem Tragekomfort für Dauereinsatz.;Preis CHF 38.00.;https://shop.ferronato.ch/de/product/3257/kapselgeh-rschutz-vs-120?CatID=216;Plattenleger;38.0;090-002;ab Lager;PSA Plattenleger;Kapselgehörschutz VS 120, Grundausstattung bei Trenn- und Schleifarbeiten.
11 Arbeitsschutz (PSA);Augen- & Gehörschutz;;3;Schutzbrille VISTA mit Glasgläser;https://shop.ferronato.ch/images/product/large/1871.jpg;Schutzbrille VISTA mit laminierten, splitterfreien klaren Glasgläsern, zeitlose robuste Form, zwei Bügelversionen zur Anpassung an jede Kopfform.;Robuste Universal-Schutzbrille mit splitterfreien Glasgläsern.;Ersatzgläser separat erhältlich, Preis CHF 17.00.;https://shop.ferronato.ch/de/product/1871/schutzbrille-vista-mit-glasgl-ser?CatID=216;Plattenleger;17.0;090-010;ab Lager;PSA Plattenleger;Regelmässig gebrauchte PSA, aber austauschbar mit anderen Modellen.
